Time(s),Input(v),Output(v),Output(m)
583.600000000064,0.000,10.000,2567.562
583.700000000064,0.000,10.000,2563.435
583.800000000064,0.000,10.000,2559.308
583.900000000064,0.000,10.000,2555.181
584.000000000064,0.000,10.000,2551.054
584.100000000064,0.000,10.000,2546.927
584.200000000064,0.000,10.000,2542.800
584.300000000064,0.000,10.000,2538.672
584.400000000064,0.000,10.000,2534.545
584.500000000064,0.000,10.000,2530.418
584.600000000064,0.000,10.000,2526.290
584.700000000064,0.000,10.000,2522.163
584.800000000064,0.000,10.000,2518.036
584.900000000064,0.000,10.000,2513.908
585.000000000064,0.000,10.000,2509.781
585.100000000064,0.000,10.000,2505.653
585.200000000065,0.000,10.000,2501.525
585.300000000065,0.000,10.000,2497.398
585.400000000065,0.000,10.000,2493.270
585.500000000065,0.000,10.000,2489.143
585.600000000065,0.010,10.000,2485.015
585.700000000065,0.000,10.000,2480.887
585.800000000065,0.000,10.000,2476.760
585.900000000065,0.000,10.000,2472.632
586.000000000065,0.000,10.000,2468.504
586.100000000065,0.000,10.000,2464.377
586.200000000065,0.010,10.000,2460.249
586.300000000065,0.000,10.000,2456.122
586.400000000065,0.010,10.000,2451.994
586.500000000065,0.010,10.000,2447.867
586.600000000065,0.000,10.000,2443.739
586.700000000065,0.000,10.000,2439.612
586.800000000065,0.000,10.000,2435.485
586.900000000065,0.000,10.000,2431.358
587.000000000065,0.000,10.000,2427.230
587.100000000065,0.000,10.000,2423.103
587.200000000065,0.000,10.000,2418.975
587.300000000065,0.010,10.000,2414.848
587.400000000065,0.000,10.000,2410.721
587.500000000065,0.010,10.000,2406.593
587.600000000065,0.000,10.000,2402.466
587.700000000065,0.000,10.000,2398.339
587.800000000065,0.000,10.000,2394.212
587.900000000065,0.059,10.000,2390.084
588.000000000065,0.570,10.000,2385.958
588.100000000065,0.766,10.000,2381.845
588.200000000065,0.914,10.000,2377.749
588.300000000065,1.248,10.000,2373.673
588.400000000065,1.572,10.000,2369.624
588.500000000065,2.603,10.000,2365.609
588.600000000065,3.095,10.000,2361.652
588.700000000065,4.038,10.000,2357.761
588.800000000065,5.000,10.000,2353.958
588.900000000065,5.000,10.000,2350.263
589.000000000065,5.000,10.000,2346.675
589.100000000065,5.000,10.000,2343.191
589.200000000065,5.000,10.000,2339.811
589.300000000065,5.000,10.000,2336.533
589.400000000065,5.000,10.000,2333.357
589.500000000065,5.000,10.000,2330.279
589.600000000066,5.000,10.000,2327.300
589.700000000066,5.000,10.000,2324.417
589.800000000066,5.000,10.000,2321.630
589.900000000066,5.000,10.000,2318.937
590.000000000066,5.000,10.000,2316.336
590.100000000066,5.000,10.000,2313.828
590.200000000066,5.000,10.000,2311.409
590.300000000066,5.000,10.000,2309.080
590.400000000066,5.000,10.000,2306.839
590.500000000066,5.000,10.000,2304.684
