Time(s),Input(v),Output(v),Output(m)
5.99999999999999,2.662,0.000,0.000
6.09999999999999,2.662,0.000,0.000
6.19999999999999,2.652,0.000,0.000
6.29999999999999,2.672,0.000,0.000
6.39999999999999,2.672,0.000,0.000
6.49999999999999,2.652,0.000,0.000
6.59999999999999,2.652,0.000,0.000
6.69999999999999,2.652,0.000,0.000
6.79999999999999,2.652,0.000,0.000
6.89999999999999,2.662,0.000,0.000
6.99999999999999,2.662,0.000,0.000
7.09999999999999,2.662,0.000,0.000
7.19999999999999,2.652,0.000,0.000
7.29999999999999,2.652,0.000,0.000
7.39999999999999,2.662,0.000,0.000
7.49999999999999,2.662,0.000,0.000
7.59999999999999,2.652,0.000,0.000
7.69999999999999,2.652,0.000,0.000
7.79999999999999,2.652,0.000,0.000
7.89999999999999,2.672,0.000,0.000
7.99999999999999,2.672,0.000,0.000
8.09999999999999,2.672,0.000,0.000
8.19999999999999,2.672,0.000,0.000
8.29999999999999,2.672,0.000,0.000
8.39999999999999,2.672,0.000,0.000
8.49999999999999,2.672,0.000,0.000
8.59999999999999,2.672,0.000,0.000
8.69999999999999,2.672,0.000,0.000
8.79999999999998,2.652,0.000,0.000
8.89999999999998,2.652,0.000,0.000
8.99999999999998,2.652,0.000,0.000
9.09999999999998,2.662,0.000,0.000
9.19999999999998,2.652,0.000,0.000
9.29999999999998,2.652,0.000,0.000
9.39999999999998,2.662,0.000,0.000
9.49999999999998,2.662,0.003,0.004
9.59999999999998,2.652,0.008,0.011
9.69999999999998,2.652,0.015,0.021
9.79999999999998,2.652,0.025,0.035
9.89999999999998,2.652,0.037,0.052
9.99999999999998,2.662,0.051,0.073
10.1,2.652,0.067,0.096
10.2,2.652,0.086,0.123
10.3,2.672,0.107,0.153
10.4,2.672,0.130,0.186
10.5,2.672,0.156,0.223
10.6,2.662,0.184,0.263
10.7,2.662,0.214,0.306
10.8,2.662,0.247,0.353
10.9,2.672,0.281,0.402
11,2.662,0.318,0.454
11.1,2.662,0.357,0.510
11.2,2.633,0.398,0.568
11.3,2.643,0.440,0.628
11.4,2.633,0.484,0.691
11.5,2.633,0.529,0.756
11.6,2.643,0.576,0.823
11.7,2.633,0.625,0.893
11.8,2.633,0.675,0.964
11.9,2.633,0.726,1.038
12,2.623,0.779,1.113
12.1,2.623,0.833,1.190
12.2,2.623,0.888,1.269
12.3,2.623,0.945,1.350
12.4,2.623,1.002,1.432
12.5,2.613,1.061,1.516
12.6,2.623,1.121,1.601
12.7,2.633,1.182,1.688
12.8,2.633,1.244,1.777
12.9,2.633,1.307,1.867
13,2.633,1.372,1.960
13.1,2.623,1.437,2.053
13.2,2.613,1.504,2.149
13.3,2.623,1.572,2.246
13.4,2.623,1.641,2.344
13.5,2.613,1.710,2.443
13.6,2.613,1.781,2.544
13.7,2.594,1.852,2.646
13.8,2.584,1.924,2.749
13.9,2.584,1.996,2.852
14,2.584,2.069,2.955
14.1,2.584,2.142,3.060
14.2,2.584,2.215,3.164
14.3,2.574,2.288,3.269
14.4,2.584,2.362,3.374
14.5,2.584,2.436,3.480
14.6,2.574,2.510,3.586
14.7,2.564,2.585,3.693
14.8,2.564,2.659,3.799
14.9,2.564,2.734,3.905
15,2.564,2.808,4.012
15.1,2.554,2.883,4.118
15.2,2.554,2.957,4.224
15.3,2.564,3.031,4.330
15.4,2.564,3.105,4.436
15.5,2.554,3.179,4.542
15.6,2.554,3.253,4.647
15.7,2.554,3.327,4.753
15.8,2.554,3.401,4.858
15.9,2.554,3.474,4.963
16,2.554,3.547,5.068
16.1,2.554,3.621,5.172
16.2,2.535,3.694,5.277
16.3,2.525,3.766,5.380
16.4,2.525,3.838,5.483
16.5,2.525,3.910,5.585
16.6,2.525,3.981,5.687
16.7,2.525,4.051,5.787
16.8,2.515,4.121,5.887
16.9,2.515,4.190,5.985
17,2.515,4.258,6.083
17.1,2.515,4.325,6.179
17.2,2.515,4.392,6.275
17.3,2.505,4.459,6.369
17.4,2.505,4.524,6.463
17.5,2.505,4.589,6.555
17.6,2.495,4.652,6.646
17.7,2.495,4.715,6.736
17.8,2.505,4.777,6.825
17.9,2.505,4.838,6.912
18,2.505,4.899,6.998
18.1,2.485,4.958,7.084
18.2,2.485,5.017,7.167
18.3,2.485,5.075,7.250
18.4,2.495,5.131,7.330
18.5,2.495,5.187,7.410
18.6,2.495,5.242,7.489
18.7,2.485,5.296,7.566
18.8,2.485,5.349,7.642
18.9,2.485,5.401,7.716
19,2.476,5.453,7.789
19.1,2.476,5.503,7.861
19.2,2.466,5.552,7.931
19.3,2.466,5.600,8.000
19.4,2.466,5.646,8.066
19.5,2.466,5.692,8.131
19.6,2.456,5.736,8.195
19.7,2.456,5.779,8.256
19.8,2.466,5.821,8.316
19.9,2.466,5.862,8.374
20,2.466,5.901,8.431
20.1,2.466,5.940,8.486
20.2,2.456,5.977,8.539
20.3,2.446,6.014,8.591
20.4,2.456,6.049,8.641
20.5,2.456,6.082,8.689
20.6,2.456,6.115,8.736
20.7,2.456,6.146,8.781
