Time(s),Input(v),Output(v),Output(m)
6.89999999999999,2.488,0.000,0.000
6.99999999999999,2.488,0.000,0.000
7.09999999999999,2.498,0.000,0.000
7.19999999999999,2.498,0.000,0.000
7.29999999999999,2.498,0.000,0.000
7.39999999999999,2.488,0.000,0.000
7.49999999999999,2.498,0.000,0.000
7.59999999999999,2.498,0.000,0.000
7.69999999999999,2.488,0.000,0.000
7.79999999999999,2.488,0.000,0.000
7.89999999999999,2.488,0.000,0.000
7.99999999999999,2.488,0.000,0.000
8.09999999999999,2.488,0.000,0.000
8.19999999999999,2.488,0.000,0.000
8.29999999999999,2.488,0.000,0.000
8.39999999999999,2.498,0.000,0.000
8.49999999999999,2.498,0.000,0.000
8.59999999999999,2.488,0.000,0.000
8.69999999999999,2.488,0.000,0.000
8.79999999999998,2.488,0.000,0.000
8.89999999999998,2.488,0.000,0.000
8.99999999999998,2.547,0.000,0.000
9.09999999999998,2.596,0.000,0.000
9.19999999999998,2.596,0.002,0.002
9.29999999999998,2.596,0.005,0.006
9.39999999999998,2.596,0.009,0.013
9.49999999999998,2.596,0.015,0.021
9.59999999999998,2.596,0.022,0.032
9.69999999999998,2.596,0.031,0.044
9.79999999999998,2.596,0.041,0.059
9.89999999999998,2.596,0.053,0.075
9.99999999999998,2.606,0.066,0.094
10.1,2.596,0.080,0.114
10.2,2.596,0.096,0.137
10.3,2.596,0.113,0.161
10.4,2.596,0.131,0.187
10.5,2.586,0.151,0.215
10.6,2.586,0.171,0.245
10.7,2.596,0.193,0.276
10.8,2.596,0.216,0.308
10.9,2.586,0.240,0.343
11,2.596,0.265,0.379
11.1,2.596,0.292,0.416
11.2,2.596,0.319,0.456
11.3,2.596,0.348,0.497
11.4,2.596,0.377,0.539
11.5,2.586,0.408,0.583
11.6,2.596,0.440,0.629
11.7,2.596,0.473,0.676
11.8,2.586,0.507,0.724
11.9,2.586,0.542,0.774
12,2.586,0.577,0.825
12.1,2.586,0.614,0.877
12.2,2.586,0.652,0.931
12.3,2.586,0.690,0.985
12.4,2.586,0.729,1.041
12.5,2.586,0.769,1.098
12.6,2.596,0.810,1.157
12.7,2.586,0.851,1.216
12.8,2.586,0.894,1.277
12.9,2.576,0.937,1.339
13,2.576,0.981,1.402
13.1,2.576,1.026,1.465
13.2,2.567,1.071,1.530
13.3,2.576,1.116,1.595
13.4,2.576,1.163,1.661
13.5,2.576,1.209,1.728
13.6,2.567,1.257,1.795
13.7,2.567,1.304,1.863
13.8,2.576,1.352,1.932
13.9,2.567,1.401,2.001
14,2.567,1.450,2.071
14.1,2.567,1.499,2.142
14.2,2.567,1.549,2.213
14.3,2.567,1.599,2.285
14.4,2.567,1.650,2.357
14.5,2.567,1.701,2.430
14.6,2.567,1.752,2.503
14.7,2.557,1.804,2.577
14.8,2.557,1.855,2.651
14.9,2.567,1.907,2.725
15,2.557,1.960,2.800
15.1,2.557,2.012,2.875
15.2,2.567,2.065,2.950
15.3,2.557,2.118,3.025
15.4,2.557,2.171,3.101
15.5,2.557,2.224,3.178
15.6,2.557,2.278,3.254
15.7,2.557,2.332,3.331
15.8,2.547,2.385,3.408
15.9,2.547,2.439,3.485
16,2.547,2.493,3.562
16.1,2.557,2.547,3.639
16.2,2.557,2.601,3.716
16.3,2.557,2.655,3.793
