Time(s),Input(v),Output(v),Output(m)
37.9000000000003,2.485,5.269,7.527
38.0000000000003,2.485,5.275,7.536
38.1000000000003,2.485,5.281,7.544
38.2000000000003,2.485,5.286,7.552
38.3000000000003,2.476,5.291,7.559
38.4000000000003,2.485,5.296,7.565
38.5000000000003,2.485,5.300,7.571
38.6000000000003,2.485,5.304,7.577
38.7000000000003,2.485,5.308,7.582
38.8000000000003,2.485,5.311,7.587
38.9000000000003,2.485,5.314,7.592
39.0000000000003,2.485,5.317,7.596
39.1000000000003,2.485,5.320,7.600
39.2000000000003,2.485,5.322,7.603
39.3000000000003,2.485,5.324,7.606
39.4000000000003,2.485,5.326,7.609
39.5000000000003,2.485,5.328,7.611
39.6000000000003,2.485,5.329,7.613
39.7000000000003,2.485,5.330,7.615
39.8000000000003,2.485,5.331,7.616
39.9000000000003,2.485,5.332,7.617
40.0000000000003,2.485,5.332,7.617
40.1000000000003,2.485,5.332,7.617
40.2000000000003,2.485,5.332,7.617
40.3000000000003,2.485,5.332,7.617
40.4000000000003,2.485,5.331,7.616
40.5000000000003,2.485,5.330,7.615
40.6000000000003,2.485,5.329,7.613
40.7000000000003,2.485,5.328,7.612
40.8000000000003,2.485,5.327,7.610
40.9000000000003,2.485,5.325,7.607
41.0000000000003,2.485,5.323,7.605
41.1000000000003,2.485,5.321,7.602
41.2000000000003,2.485,5.319,7.599
41.3000000000003,2.485,5.317,7.595
41.4000000000003,2.485,5.314,7.591
41.5000000000003,2.485,5.311,7.587
41.6000000000003,2.485,5.308,7.583
41.7000000000003,2.485,5.305,7.578
41.8000000000003,2.485,5.302,7.574
41.9000000000003,2.485,5.298,7.568
42.0000000000003,2.485,5.294,7.563
42.1000000000003,2.476,5.290,7.558
42.2000000000003,2.485,5.286,7.551
42.3000000000003,2.485,5.282,7.545
42.4000000000003,2.485,5.277,7.539
42.5000000000003,2.485,5.272,7.532
42.6000000000003,2.485,5.267,7.525
42.7000000000003,2.485,5.262,7.517
42.8000000000003,2.485,5.257,7.510
42.9000000000003,2.485,5.252,7.502
43.0000000000003,2.495,5.246,7.494
43.1000000000003,2.476,5.240,7.486
43.2000000000003,2.485,5.235,7.478
43.3000000000003,2.485,5.229,7.469
43.4000000000003,2.485,5.222,7.461
43.5000000000003,2.485,5.216,7.451
43.6000000000003,2.485,5.210,7.442
43.7000000000004,2.485,5.203,7.433
43.8000000000004,2.485,5.196,7.423
43.9000000000004,2.495,5.189,7.413
44.0000000000004,2.485,5.183,7.404
44.1000000000004,2.485,5.176,7.394
44.2000000000004,2.495,5.168,7.383
44.3000000000004,2.485,5.161,7.373
44.4000000000004,2.485,5.154,7.363
44.5000000000004,2.485,5.147,7.352
44.6000000000004,2.495,5.139,7.342
44.7000000000004,2.485,5.132,7.331
44.8000000000004,2.495,5.124,7.320
44.9000000000004,2.485,5.117,7.309
45.0000000000004,2.485,5.109,7.299
45.1000000000004,2.495,5.101,7.287
45.2000000000004,2.485,5.093,7.276
45.3000000000004,2.495,5.085,7.265
45.4000000000004,2.485,5.078,7.254
45.5000000000004,2.544,5.070,7.242
45.6000000000004,3.301,5.062,7.232
45.7000000000004,3.645,5.068,7.240
45.8000000000004,3.949,5.091,7.273
45.9000000000004,4.146,5.137,7.339
46.0000000000004,4.509,5.209,7.441
46.1000000000004,5.000,5.310,7.586
46.2000000000004,5.000,5.450,7.786
46.3000000000004,5.000,5.627,8.039
46.4000000000004,5.000,5.842,8.345
46.5000000000004,5.000,6.092,8.703
46.6000000000004,5.000,6.379,9.113
46.7000000000004,5.000,6.701,9.573
46.8000000000004,5.000,7.058,10.082
46.9000000000004,5.000,7.449,10.642
47.0000000000004,5.000,7.875,11.249
47.1000000000004,5.000,8.334,11.905
47.2000000000004,5.000,8.826,12.608
47.3000000000004,5.000,9.350,13.358
47.4000000000004,5.000,9.907,14.153
47.5000000000004,5.000,10.000,14.994
47.6000000000004,5.000,10.000,15.880
47.7000000000004,5.000,10.000,16.810
47.8000000000004,5.000,10.000,17.783
47.9000000000004,5.000,10.000,18.800
48.0000000000004,5.000,10.000,19.859
48.1000000000004,5.000,10.000,20.959
48.2000000000004,5.000,10.000,22.101
48.3000000000004,5.000,10.000,23.283
48.4000000000004,5.000,10.000,24.506
48.5000000000004,5.000,10.000,25.768
48.6000000000004,5.000,10.000,27.069
48.7000000000004,5.000,10.000,28.409
48.8000000000004,5.000,10.000,29.786
48.9000000000004,5.000,10.000,31.202
49.0000000000004,5.000,10.000,32.654
49.1000000000004,5.000,10.000,34.142
49.2000000000004,5.000,10.000,35.666
49.3000000000004,5.000,10.000,37.226
49.4000000000004,5.000,10.000,38.821
49.5000000000004,5.000,10.000,40.450
49.6000000000004,5.000,10.000,42.114
49.7000000000004,5.000,10.000,43.811
49.8000000000004,5.000,10.000,45.541
49.9000000000004,5.000,10.000,47.304
50.0000000000004,5.000,10.000,49.098
50.1000000000004,5.000,10.000,50.925
50.2000000000004,5.000,10.000,52.783
50.3000000000004,5.000,10.000,54.672
50.4000000000004,5.000,10.000,56.592
50.5000000000004,5.000,10.000,58.541
50.6000000000004,5.000,10.000,60.520
50.7000000000005,5.000,10.000,62.529
50.8000000000005,5.000,10.000,64.566
50.9000000000005,5.000,10.000,66.632
51.0000000000005,5.000,10.000,68.726
51.1000000000005,5.000,10.000,70.848
51.2000000000005,5.000,10.000,72.997
51.3000000000005,5.000,10.000,75.173
51.4000000000005,5.000,10.000,77.375
51.5000000000005,5.000,10.000,79.604
51.6000000000005,5.000,10.000,81.858
51.7000000000005,5.000,10.000,84.139
51.8000000000005,5.000,10.000,86.444
51.9000000000005,5.000,10.000,88.774
52.0000000000005,5.000,10.000,91.129
52.1000000000005,5.000,10.000,93.507
52.2000000000005,5.000,10.000,95.910
52.3000000000005,5.000,10.000,98.336
52.4000000000005,5.000,10.000,100.786
52.5000000000005,5.000,10.000,103.258
52.6000000000005,5.000,10.000,105.753
52.7000000000005,5.000,10.000,108.270
52.8000000000005,5.000,10.000,110.809
52.9000000000005,5.000,10.000,113.369
53.0000000000005,5.000,10.000,115.951
53.1000000000005,5.000,10.000,118.554
53.2000000000005,5.000,10.000,121.178
53.3000000000005,5.000,10.000,123.822
53.4000000000005,5.000,10.000,126.487
53.5000000000005,5.000,10.000,129.171
53.6000000000005,5.000,10.000,131.876
53.7000000000005,5.000,10.000,134.599
53.8000000000005,5.000,10.000,137.342
53.9000000000005,5.000,10.000,140.103
54.0000000000005,5.000,10.000,142.884
54.1000000000005,5.000,10.000,145.682
54.2000000000005,5.000,10.000,148.499
54.3000000000005,5.000,10.000,151.334
54.4000000000005,5.000,10.000,154.186
54.5000000000005,5.000,10.000,157.055
54.6000000000005,5.000,10.000,159.942
54.7000000000005,5.000,10.000,162.846
54.8000000000005,5.000,10.000,165.766
54.9000000000005,5.000,10.000,168.703
55.0000000000005,5.000,10.000,171.656
55.1000000000005,5.000,10.000,174.625
55.2000000000005,5.000,10.000,177.610
55.3000000000005,5.000,10.000,180.610
55.4000000000005,5.000,10.000,183.626
