Time(s),Input(v),Output(v),Output(m)
157.799999999995,2.515,10.000,4470.287
157.899999999995,2.515,10.000,4470.126
157.999999999995,2.505,10.000,4469.967
158.099999999995,2.505,10.000,4469.810
158.199999999995,2.515,10.000,4469.656
158.299999999995,2.515,10.000,4469.504
158.399999999995,2.505,10.000,4469.355
158.499999999995,2.505,10.000,4469.207
158.599999999995,2.505,10.000,4469.062
158.699999999995,2.505,10.000,4468.919
158.799999999995,2.505,10.000,4468.778
158.899999999995,2.515,10.000,4468.639
158.999999999995,2.505,10.000,4468.502
159.099999999995,2.505,10.000,4468.367
159.199999999995,2.505,10.000,4468.234
159.299999999995,2.505,10.000,4468.103
159.399999999995,2.515,10.000,4467.974
159.499999999995,2.505,10.000,4467.847
159.599999999995,2.515,10.000,4467.722
159.699999999995,2.515,10.000,4467.599
159.799999999995,2.505,10.000,4467.478
159.899999999995,2.515,10.000,4467.358
159.999999999995,2.505,10.000,4467.241
160.099999999995,2.505,10.000,4467.125
160.199999999995,2.505,10.000,4467.011
160.299999999995,2.515,10.000,4466.899
160.399999999995,2.505,10.000,4466.789
160.499999999995,2.505,10.000,4466.680
160.599999999995,2.515,10.000,4466.573
160.699999999995,2.505,10.000,4466.467
160.799999999995,2.515,10.000,4466.363
160.899999999995,2.505,10.000,4466.261
160.999999999995,2.505,10.000,4466.161
161.099999999995,2.515,10.000,4466.061
161.199999999995,2.515,10.000,4465.964
161.299999999995,2.505,10.000,4465.868
161.399999999995,2.515,10.000,4465.774
161.499999999995,2.505,10.000,4465.681
161.599999999995,2.505,10.000,4465.590
161.699999999995,2.505,10.000,4465.500
161.799999999995,2.505,10.000,4465.411
161.899999999995,2.505,10.000,4465.324
161.999999999995,2.505,10.000,4465.238
162.099999999995,2.505,10.000,4465.153
162.199999999995,2.633,10.000,4465.069
162.299999999995,2.869,10.000,4464.990
162.399999999995,3.222,10.000,4464.920
162.499999999995,3.596,10.000,4464.867
162.599999999995,3.723,10.000,4464.840
162.699999999995,4.057,10.000,4464.840
162.799999999995,4.519,10.000,4464.875
162.899999999995,5.000,10.000,4464.956
162.999999999995,5.000,10.000,4465.091
163.099999999995,5.000,10.000,4465.281
163.199999999995,5.000,10.000,4465.524
163.299999999995,5.000,10.000,4465.821
163.399999999995,5.000,10.000,4466.169
163.499999999995,5.000,10.000,4466.569
163.599999999995,5.000,10.000,4467.020
163.699999999995,5.000,10.000,4467.520
163.799999999995,5.000,10.000,4468.070
163.899999999995,5.000,10.000,4468.669
163.999999999995,5.000,10.000,4469.316
164.099999999995,5.000,10.000,4470.010
164.199999999995,5.000,10.000,4470.751
164.299999999995,5.000,10.000,4471.539
164.399999999995,5.000,10.000,4472.371
164.499999999995,5.000,10.000,4473.249
164.599999999995,5.000,10.000,4474.170
164.699999999995,5.000,10.000,4475.136
164.799999999995,5.000,10.000,4476.144
164.899999999995,5.000,10.000,4477.195
164.999999999995,5.000,10.000,4478.288
165.099999999995,5.000,10.000,4479.422
165.199999999995,5.000,10.000,4480.597
165.299999999995,5.000,10.000,4481.813
165.399999999995,5.000,10.000,4483.067
165.499999999995,5.000,10.000,4484.361
165.599999999995,5.000,10.000,4485.694
165.699999999995,5.000,10.000,4487.065
165.799999999995,5.000,10.000,4488.473
165.899999999995,5.000,10.000,4489.918
165.999999999995,5.000,10.000,4491.400
166.099999999995,5.000,10.000,4492.918
166.199999999995,5.000,10.000,4494.471
166.299999999995,5.000,10.000,4496.059
166.399999999995,5.000,10.000,4497.682
166.499999999995,5.000,10.000,4499.340
166.599999999995,5.000,10.000,4501.030
166.699999999995,5.000,10.000,4502.754
166.799999999995,5.000,10.000,4504.511
166.899999999995,5.000,10.000,4506.300
166.999999999995,5.000,10.000,4508.121
167.099999999995,5.000,10.000,4509.973
167.199999999995,5.000,10.000,4511.856
167.299999999995,5.000,10.000,4513.770
167.399999999995,5.000,10.000,4515.714
167.499999999995,5.000,10.000,4517.688
167.599999999995,5.000,10.000,4519.691
167.699999999995,5.000,10.000,4521.723
167.799999999995,5.000,10.000,4523.784
167.899999999995,5.000,10.000,4525.873
167.999999999995,5.000,10.000,4527.989
168.099999999995,5.000,10.000,4530.133
168.199999999995,5.000,10.000,4532.304
168.299999999995,5.000,10.000,4534.502
168.399999999995,5.000,10.000,4536.726
168.499999999995,5.000,10.000,4538.975
168.599999999995,5.000,10.000,4541.251
168.699999999995,5.000,10.000,4543.552
168.799999999995,5.000,10.000,4545.877
168.899999999995,5.000,10.000,4548.227
168.999999999995,5.000,10.000,4550.602
169.099999999995,5.000,10.000,4553.000
169.199999999995,5.000,10.000,4555.422
169.299999999995,5.000,10.000,4557.867
169.399999999995,5.000,10.000,4560.335
169.499999999995,5.000,10.000,4562.825
169.599999999995,5.000,10.000,4565.338
169.699999999995,5.000,10.000,4567.873
169.799999999995,5.000,10.000,4570.430
169.899999999995,5.000,10.000,4573.008
169.999999999995,5.000,10.000,4575.607
170.099999999995,5.000,10.000,4578.227
170.199999999995,5.000,10.000,4580.868
170.299999999995,5.000,10.000,4583.529
170.399999999995,5.000,10.000,4586.209
170.499999999995,5.000,10.000,4588.910
170.599999999995,5.000,10.000,4591.630
170.699999999995,5.000,10.000,4594.369
170.799999999995,5.000,10.000,4597.127
170.899999999995,5.000,10.000,4599.904
170.999999999995,5.000,10.000,4602.699
171.099999999995,5.000,10.000,4605.513
171.199999999995,5.000,10.000,4608.344
171.299999999995,5.000,10.000,4611.193
171.399999999995,5.000,10.000,4614.059
171.499999999995,5.000,10.000,4616.943
171.599999999995,5.000,10.000,4619.843
171.699999999995,5.000,10.000,4622.761
171.799999999995,5.000,10.000,4625.695
171.899999999995,5.000,10.000,4628.645
171.999999999995,5.000,10.000,4631.611
172.099999999995,5.000,10.000,4634.593
172.199999999995,5.000,10.000,4637.590
172.299999999994,5.000,10.000,4640.603
172.399999999994,5.000,10.000,4643.632
172.499999999994,5.000,10.000,4646.675
172.599999999994,5.000,10.000,4649.733
172.699999999994,5.000,10.000,4652.805
172.799999999994,5.000,10.000,4655.892
172.899999999994,5.000,10.000,4658.994
172.999999999994,5.000,10.000,4662.109
173.099999999994,5.000,10.000,4665.238
173.199999999994,5.000,10.000,4668.380
173.299999999994,5.000,10.000,4671.536
173.399999999994,5.000,10.000,4674.706
173.499999999994,5.000,10.000,4677.888
173.599999999994,5.000,10.000,4681.083
173.699999999994,5.000,10.000,4684.291
173.799999999994,5.000,10.000,4687.512
173.899999999994,5.000,10.000,4690.745
173.999999999994,5.000,10.000,4693.990
174.099999999994,5.000,10.000,4697.247
174.199999999994,5.000,10.000,4700.516
174.299999999994,5.000,10.000,4703.797
174.399999999994,5.000,10.000,4707.090
174.499999999994,5.000,10.000,4710.393
174.599999999994,5.000,10.000,4713.708
174.699999999994,5.000,10.000,4717.034
174.799999999994,5.000,10.000,4720.371
174.899999999994,5.000,10.000,4723.719
174.999999999994,5.000,10.000,4727.078
175.099999999994,5.000,10.000,4730.447
175.199999999994,5.000,10.000,4733.826
175.299999999994,5.000,10.000,4737.216
175.399999999994,5.000,10.000,4740.615
175.499999999994,5.000,10.000,4744.025
175.599999999994,5.000,10.000,4747.444
175.699999999994,5.000,10.000,4750.873
175.799999999994,5.000,10.000,4754.312
175.899999999994,5.000,10.000,4757.760
175.999999999994,5.000,10.000,4761.217
