Time(s),Input(v),Output(v),Output(m)
34.5000000000002,2.456,6.384,9.120
34.6000000000002,2.456,6.359,9.084
34.7000000000002,2.456,6.333,9.047
34.8000000000002,2.456,6.307,9.010
34.9000000000002,2.456,6.280,8.972
35.0000000000002,2.456,6.254,8.934
35.1000000000002,2.456,6.226,8.895
35.2000000000002,2.456,6.199,8.856
35.3000000000002,2.456,6.171,8.816
35.4000000000002,2.456,6.143,8.776
35.5000000000002,2.456,6.115,8.735
35.6000000000002,2.456,6.086,8.694
35.7000000000002,2.456,6.057,8.653
35.8000000000002,2.456,6.028,8.611
35.9000000000002,2.456,5.998,8.569
36.0000000000002,2.466,5.968,8.526
36.1000000000002,2.456,5.938,8.483
36.2000000000002,2.456,5.908,8.440
36.3000000000002,2.456,5.877,8.396
36.4000000000002,2.456,5.846,8.352
36.5000000000002,2.456,5.815,8.307
36.6000000000003,2.466,5.784,8.262
36.7000000000003,2.456,5.752,8.217
36.8000000000003,2.456,5.720,8.172
36.9000000000003,2.456,5.688,8.126
37.0000000000003,2.456,5.656,8.080
37.1000000000003,2.456,5.624,8.034
37.2000000000003,2.466,5.591,7.987
37.3000000000003,2.466,5.558,7.940
37.4000000000003,2.770,5.525,7.893
37.5000000000003,3.173,5.497,7.852
37.6000000000003,3.664,5.479,7.827
37.7000000000003,3.831,5.480,7.829
37.8000000000003,4.205,5.503,7.861
37.9000000000003,4.548,5.551,7.930
38.0000000000003,4.902,5.632,8.045
38.1000000000003,5.000,5.749,8.212
38.2000000000003,5.000,5.903,8.433
38.3000000000003,5.000,6.095,8.708
38.4000000000003,5.000,6.324,9.034
38.5000000000003,5.000,6.589,9.413
38.6000000000003,5.000,6.890,9.842
38.7000000000003,5.000,7.226,10.322
38.8000000000003,5.000,7.596,10.852
38.9000000000003,5.000,8.001,11.430
39.0000000000003,5.000,8.440,12.057
39.1000000000003,5.000,8.912,12.732
39.2000000000003,5.000,9.417,13.453
39.3000000000003,5.000,9.955,14.221
39.4000000000003,5.000,10.000,15.035
39.5000000000003,5.000,10.000,15.894
39.6000000000003,5.000,10.000,16.797
39.7000000000003,5.000,10.000,17.744
39.8000000000003,5.000,10.000,18.735
39.9000000000003,5.000,10.000,19.768
40.0000000000003,5.000,10.000,20.843
40.1000000000003,5.000,10.000,21.960
40.2000000000003,5.000,10.000,23.118
40.3000000000003,5.000,10.000,24.317
40.4000000000003,5.000,10.000,25.555
40.5000000000003,5.000,10.000,26.833
40.6000000000003,5.000,10.000,28.149
40.7000000000003,5.000,10.000,29.504
40.8000000000003,5.000,10.000,30.897
40.9000000000003,5.000,10.000,32.327
41.0000000000003,5.000,10.000,33.793
41.1000000000003,5.000,10.000,35.296
41.2000000000003,5.000,10.000,36.834
41.3000000000003,5.000,10.000,38.408
41.4000000000003,5.000,10.000,40.017
41.5000000000003,5.000,10.000,41.660
41.6000000000003,5.000,10.000,43.336
41.7000000000003,5.000,10.000,45.047
41.8000000000003,5.000,10.000,46.790
41.9000000000003,5.000,10.000,48.565
42.0000000000003,5.000,10.000,50.373
42.1000000000003,5.000,10.000,52.212
42.2000000000003,5.000,10.000,54.082
42.3000000000003,5.000,10.000,55.983
42.4000000000003,5.000,10.000,57.915
42.5000000000003,5.000,10.000,59.876
42.6000000000003,5.000,10.000,61.867
42.7000000000003,5.000,10.000,63.887
42.8000000000003,5.000,10.000,65.936
42.9000000000003,5.000,10.000,68.013
43.0000000000003,5.000,10.000,70.118
43.1000000000003,5.000,10.000,72.250
43.2000000000003,5.000,10.000,74.410
43.3000000000003,5.000,10.000,76.597
43.4000000000003,5.000,10.000,78.810
43.5000000000003,5.000,10.000,81.049
43.6000000000003,5.000,10.000,83.313
43.7000000000004,5.000,10.000,85.604
43.8000000000004,5.000,10.000,87.919
43.9000000000004,5.000,10.000,90.259
44.0000000000004,5.000,10.000,92.623
44.1000000000004,5.000,10.000,95.011
44.2000000000004,5.000,10.000,97.423
44.3000000000004,5.000,10.000,99.859
44.4000000000004,5.000,10.000,102.317
44.5000000000004,5.000,10.000,104.798
44.6000000000004,5.000,10.000,107.302
44.7000000000004,5.000,10.000,109.828
44.8000000000004,5.000,10.000,112.375
44.9000000000004,5.000,10.000,114.944
45.0000000000004,5.000,10.000,117.535
45.1000000000004,5.000,10.000,120.146
45.2000000000004,5.000,10.000,122.778
45.3000000000004,5.000,10.000,125.431
45.4000000000004,5.000,10.000,128.103
45.5000000000004,5.000,10.000,130.795
45.6000000000004,5.000,10.000,133.507
45.7000000000004,5.000,10.000,136.238
45.8000000000004,5.000,10.000,138.989
45.9000000000004,5.000,10.000,141.758
46.0000000000004,5.000,10.000,144.545
46.1000000000004,5.000,10.000,147.351
46.2000000000004,5.000,10.000,150.175
46.3000000000004,5.000,10.000,153.017
46.4000000000004,5.000,10.000,155.876
46.5000000000004,5.000,10.000,158.752
46.6000000000004,5.000,10.000,161.646
46.7000000000004,5.000,10.000,164.556
46.8000000000004,5.000,10.000,167.483
46.9000000000004,5.000,10.000,170.426
47.0000000000004,5.000,10.000,173.386
47.1000000000004,5.000,10.000,176.361
47.2000000000004,5.000,10.000,179.352
47.3000000000004,5.000,10.000,182.359
47.4000000000004,5.000,10.000,185.381
47.5000000000004,5.000,10.000,188.417
47.6000000000004,5.000,10.000,191.469
47.7000000000004,5.000,10.000,194.536
47.8000000000004,5.000,10.000,197.617
47.9000000000004,5.000,10.000,200.712
48.0000000000004,5.000,10.000,203.821
48.1000000000004,5.000,10.000,206.945
48.2000000000004,5.000,10.000,210.082
48.3000000000004,5.000,10.000,213.232
48.4000000000004,5.000,10.000,216.396
48.5000000000004,5.000,10.000,219.573
48.6000000000004,5.000,10.000,222.763
48.7000000000004,5.000,10.000,225.965
48.8000000000004,5.000,10.000,229.181
48.9000000000004,5.000,10.000,232.409
49.0000000000004,5.000,10.000,235.649
49.1000000000004,5.000,10.000,238.901
49.2000000000004,5.000,10.000,242.165
49.3000000000004,5.000,10.000,245.441
49.4000000000004,5.000,10.000,248.728
49.5000000000004,5.000,10.000,252.027
49.6000000000004,5.000,10.000,255.338
49.7000000000004,5.000,10.000,258.659
49.8000000000004,5.000,10.000,261.992
49.9000000000004,5.000,10.000,265.335
50.0000000000004,5.000,10.000,268.689
50.1000000000004,5.000,10.000,272.054
50.2000000000004,5.000,10.000,275.429
50.3000000000004,5.000,10.000,278.814
50.4000000000004,5.000,10.000,282.209
50.5000000000004,5.000,10.000,285.615
50.6000000000004,5.000,10.000,289.030
50.7000000000005,5.000,10.000,292.455
50.8000000000005,5.000,10.000,295.890
50.9000000000005,5.000,10.000,299.334
51.0000000000005,5.000,10.000,302.787
51.1000000000005,5.000,10.000,306.250
51.2000000000005,5.000,10.000,309.722
51.3000000000005,5.000,10.000,313.202
51.4000000000005,5.000,10.000,316.692
51.5000000000005,5.000,10.000,320.190
51.6000000000005,5.000,10.000,323.697
51.7000000000005,5.000,10.000,327.212
51.8000000000005,5.000,10.000,330.736
51.9000000000005,5.000,10.000,334.268
52.0000000000005,5.000,10.000,337.808
52.1000000000005,5.000,10.000,341.356
52.2000000000005,5.000,10.000,344.912
52.3000000000005,5.000,10.000,348.476
52.4000000000005,5.000,10.000,352.047
52.5000000000005,5.000,10.000,355.626
52.6000000000005,5.000,10.000,359.213
52.7000000000005,5.000,10.000,362.807
52.8000000000005,5.000,10.000,366.408
52.9000000000005,5.000,10.000,370.017
53.0000000000005,5.000,10.000,373.633
53.1000000000005,5.000,10.000,377.255
53.2000000000005,5.000,10.000,380.885
53.3000000000005,5.000,10.000,384.521
53.4000000000005,5.000,10.000,388.164
53.5000000000005,5.000,10.000,391.814
53.6000000000005,5.000,10.000,395.470
53.7000000000005,5.000,10.000,399.133
53.8000000000005,5.000,10.000,402.802
53.9000000000005,5.000,10.000,406.477
54.0000000000005,5.000,10.000,410.159
54.1000000000005,5.000,10.000,413.846
54.2000000000005,5.000,10.000,417.540
54.3000000000005,5.000,10.000,421.240
54.4000000000005,5.000,10.000,424.945
54.5000000000005,5.000,10.000,428.656
54.6000000000005,5.000,10.000,432.373
54.7000000000005,5.000,10.000,436.096
54.8000000000005,5.000,10.000,439.824
54.9000000000005,5.000,10.000,443.558
55.0000000000005,5.000,10.000,447.297
55.1000000000005,5.000,10.000,451.041
55.2000000000005,5.000,10.000,454.790
55.3000000000005,5.000,10.000,458.545
55.4000000000005,5.000,10.000,462.305
55.5000000000005,5.000,10.000,466.070
55.6000000000005,5.000,10.000,469.840
55.7000000000005,5.000,10.000,473.615
55.8000000000005,5.000,10.000,477.394
55.9000000000005,5.000,10.000,481.178
56.0000000000005,5.000,10.000,484.968
56.1000000000005,5.000,10.000,488.761
56.2000000000005,5.000,10.000,492.560
56.3000000000005,5.000,10.000,496.362
56.4000000000005,5.000,10.000,500.170
56.5000000000005,5.000,10.000,503.981
56.6000000000005,5.000,10.000,507.797
56.7000000000005,5.000,10.000,511.618
56.8000000000005,5.000,10.000,515.442
56.9000000000005,5.000,10.000,519.271
57.0000000000005,5.000,10.000,523.103
57.1000000000005,5.000,10.000,526.940
57.2000000000005,5.000,10.000,530.781
57.3000000000005,5.000,10.000,534.626
57.4000000000005,5.000,10.000,538.474
57.5000000000005,5.000,10.000,542.327
57.6000000000005,5.000,10.000,546.183
57.7000000000005,5.000,10.000,550.043
57.8000000000006,5.000,10.000,553.907
57.9000000000006,5.000,10.000,557.774
58.0000000000006,5.000,10.000,561.645
58.1000000000006,5.000,10.000,565.519
58.2000000000006,5.000,10.000,569.397
58.3000000000006,5.000,10.000,573.278
58.4000000000006,5.000,10.000,577.163
58.5000000000006,5.000,10.000,581.051
58.6000000000006,5.000,10.000,584.942
58.7000000000006,5.000,10.000,588.837
58.8000000000006,5.000,10.000,592.735
58.9000000000006,5.000,10.000,596.636
59.0000000000006,5.000,10.000,600.540
59.1000000000006,5.000,10.000,604.447
59.2000000000006,5.000,10.000,608.357
59.3000000000006,5.000,10.000,612.270
59.4000000000006,5.000,10.000,616.186
59.5000000000006,5.000,10.000,620.105
59.6000000000006,5.000,10.000,624.027
59.7000000000006,5.000,10.000,627.952
