Time(s),Input(v),Output(v),Output(m)
1.6,2.495,0.020,0.029
1.7,2.505,0.020,0.029
1.8,2.495,0.020,0.029
1.9,2.495,0.021,0.029
2,2.505,0.021,0.029
2.1,2.495,0.021,0.029
2.2,2.505,0.021,0.029
2.3,2.505,0.021,0.029
2.4,2.495,0.021,0.030
2.5,2.505,0.021,0.030
2.6,2.495,0.021,0.030
2.7,2.495,0.021,0.030
2.8,2.505,0.021,0.030
2.9,2.495,0.021,0.030
3,2.505,0.021,0.030
3.1,2.495,0.021,0.030
3.2,2.505,0.021,0.030
3.3,2.505,0.021,0.030
3.4,2.505,0.021,0.031
3.5,2.495,0.022,0.031
3.6,2.495,0.022,0.031
3.7,2.495,0.022,0.031
3.8,2.505,0.022,0.031
3.9,2.505,0.022,0.031
4,2.495,0.022,0.032
4.1,2.505,0.022,0.032
4.2,2.495,0.022,0.032
4.3,2.495,0.023,0.032
4.4,2.495,0.023,0.032
4.5,2.495,0.022,0.032
4.6,2.495,0.022,0.032
4.7,2.515,0.022,0.032
4.8,2.525,0.022,0.032
4.9,2.554,0.023,0.032
5,2.564,0.024,0.034
5.1,2.584,0.026,0.037
5.2,2.603,0.030,0.042
5.3,2.702,0.035,0.050
5.4,2.780,0.043,0.062
5.5,2.790,0.056,0.079
5.6,2.780,0.073,0.104
5.7,2.790,0.094,0.134
5.8,3.055,0.119,0.170
5.9,3.065,0.153,0.218
5.99999999999999,3.065,0.195,0.279
6.09999999999999,3.065,0.245,0.351
6.19999999999999,3.065,0.304,0.435
6.29999999999999,3.065,0.371,0.530
6.39999999999999,3.055,0.446,0.637
6.49999999999999,3.036,0.528,0.755
6.59999999999999,3.026,0.618,0.883
6.69999999999999,3.016,0.715,1.021
6.79999999999999,3.006,0.819,1.170
6.89999999999999,2.986,0.929,1.327
6.99999999999999,2.977,1.045,1.493
7.09999999999999,2.957,1.168,1.668
7.19999999999999,2.947,1.295,1.851
7.29999999999999,2.928,1.429,2.041
7.39999999999999,2.918,1.567,2.238
7.49999999999999,2.898,1.709,2.442
7.59999999999999,2.888,1.856,2.652
7.69999999999999,2.869,2.008,2.868
7.79999999999999,2.859,2.163,3.089
7.89999999999999,2.829,2.321,3.316
7.99999999999999,2.810,2.482,3.546
8.09999999999999,2.790,2.647,3.781
8.19999999999999,2.770,2.813,4.019
8.29999999999999,2.751,2.982,4.259
8.39999999999999,2.731,3.152,4.502
8.49999999999999,2.711,3.323,4.747
8.59999999999999,2.692,3.496,4.994
8.69999999999999,2.672,3.669,5.241
8.79999999999998,2.652,3.842,5.489
8.89999999999998,2.633,4.016,5.737
8.99999999999998,2.613,4.189,5.984
9.09999999999998,2.594,4.361,6.231
9.19999999999998,2.564,4.533,6.476
9.29999999999998,2.554,4.704,6.720
9.39999999999998,2.535,4.873,6.961
9.49999999999998,2.515,5.040,7.200
9.59999999999998,2.495,5.205,7.436
9.69999999999998,2.476,5.368,7.669
9.79999999999998,2.456,5.528,7.897
9.89999999999998,2.436,5.686,8.122
9.99999999999998,2.417,5.840,8.343
10.1,2.397,5.991,8.558
10.2,2.377,6.138,8.768
10.3,2.368,6.281,8.973
10.4,2.338,6.420,9.172
10.5,2.328,6.555,9.364
10.6,2.309,6.685,9.550
10.7,2.299,6.811,9.730
10.8,2.279,6.931,9.902
10.9,2.269,7.047,10.067
11,2.250,7.157,10.224
11.1,2.240,7.262,10.374
11.2,2.230,7.361,10.516
11.3,2.220,7.455,10.650
11.4,2.210,7.543,10.775
11.5,2.191,7.625,10.893
11.6,2.191,7.701,11.002
11.7,2.171,7.772,11.102
11.8,2.161,7.836,11.194
11.9,2.161,7.894,11.277
12,2.151,7.946,11.351
12.1,2.151,7.992,11.417
12.2,2.142,8.031,11.473
12.3,2.142,8.065,11.521
12.4,2.132,8.092,11.560
12.5,2.132,8.113,11.590
12.6,2.132,8.128,11.612
12.7,2.122,8.137,11.625
12.8,2.122,8.140,11.629
12.9,2.122,8.137,11.625
13,2.122,8.128,11.612
13.1,2.122,8.114,11.591
13.2,2.132,8.093,11.562
13.3,2.132,8.067,11.525
13.4,2.132,8.036,11.480
13.5,2.142,7.999,11.427
13.6,2.142,7.957,11.367
13.7,2.142,7.910,11.300
13.8,2.151,7.858,11.226
13.9,2.161,7.801,11.145
14,2.161,7.740,11.057
14.1,2.171,7.674,10.963
14.2,2.181,7.604,10.863
14.3,2.191,7.530,10.757
14.4,2.201,7.452,10.646
14.5,2.201,7.370,10.529
14.6,2.220,7.285,10.407
14.7,2.230,7.197,10.281
14.8,2.240,7.105,10.150
14.9,2.240,7.011,10.015
15,2.260,6.913,9.876
15.1,2.269,6.814,9.734
15.2,2.279,6.712,9.588
15.3,2.289,6.608,9.440
15.4,2.309,6.502,9.288
15.5,2.318,6.394,9.135
15.6,2.328,6.285,8.979
15.7,2.348,6.175,8.822
15.8,2.358,6.064,8.663
15.9,2.377,5.952,8.503
16,2.387,5.840,8.343
16.1,2.397,5.728,8.183
16.2,2.407,5.615,8.022
16.3,2.427,5.503,7.861
16.4,2.436,5.391,7.701
16.5,2.446,5.279,7.542
16.6,2.456,5.168,7.383
16.7,2.476,5.058,7.226
16.8,2.485,4.949,7.071
16.9,2.495,4.842,6.917
17,2.515,4.735,6.765
17.1,2.525,4.631,6.616
17.2,2.544,4.528,6.469
17.3,2.554,4.427,6.325
17.4,2.554,4.329,6.184
17.5,2.574,4.233,6.047
17.6,2.584,4.139,5.913
17.7,2.594,4.048,5.782
17.8,2.603,3.959,5.656
17.9,2.623,3.873,5.533
18,2.633,3.791,5.415
18.1,2.633,3.711,5.302
18.2,2.643,3.635,5.193
18.3,2.652,3.562,5.089
18.4,2.662,3.493,4.990
18.5,2.672,3.427,4.895
18.6,2.672,3.364,4.806
18.7,2.692,3.306,4.722
18.8,2.702,3.251,4.644
18.9,2.702,3.199,4.571
19,2.711,3.152,4.503
19.1,2.711,3.109,4.441
19.2,2.721,3.070,4.385
19.3,2.721,3.034,4.335
19.4,2.721,3.003,4.290
19.5,2.721,2.975,4.250
19.6,2.731,2.952,4.217
19.7,2.741,2.932,4.189
19.8,2.741,2.916,4.166
19.9,2.741,2.905,4.150
20,2.751,2.897,4.139
20.1,2.751,2.894,4.134
20.2,2.751,2.894,4.134
20.3,2.741,2.898,4.140
20.4,2.741,2.906,4.152
20.5,2.741,2.918,4.169
20.6,2.741,2.933,4.191
20.7,2.741,2.952,4.218
20.8,2.741,2.975,4.250
20.9,2.731,3.001,4.287
21,2.731,3.030,4.329
21.1,2.721,3.063,4.375
21.2,2.721,3.098,4.426
21.3,2.721,3.137,4.481
21.4,2.711,3.178,4.540
21.5,2.711,3.222,4.603
21.6,2.711,3.269,4.671
21.7,2.702,3.319,4.742
21.8,2.692,3.371,4.816
21.9,2.682,3.426,4.894
22,2.682,3.482,4.975
22.1,2.672,3.541,5.059
22.2,2.662,3.602,5.145
22.3,2.662,3.664,5.234
22.4,2.652,3.728,5.326
22.5,2.643,3.793,5.419
22.6000000000001,2.633,3.860,5.515
22.7000000000001,2.623,3.928,5.612
22.8000000000001,2.623,3.998,5.711
22.9000000000001,2.613,4.068,5.811
23.0000000000001,2.603,4.139,5.912
23.1000000000001,2.594,4.210,6.014
23.2000000000001,2.584,4.282,6.117
23.3000000000001,2.584,4.355,6.221
23.4000000000001,2.574,4.427,6.325
23.5000000000001,2.564,4.500,6.429
23.6000000000001,2.554,4.573,6.533
23.7000000000001,2.554,4.646,6.637
23.8000000000001,2.535,4.719,6.741
23.9000000000001,2.525,4.791,6.844
24.0000000000001,2.515,4.862,6.946
24.1000000000001,2.515,4.933,7.048
24.2000000000001,2.495,5.004,7.148
24.3000000000001,2.495,5.073,7.247
24.4000000000001,2.485,5.141,7.344
24.5000000000001,2.485,5.208,7.440
24.6000000000001,2.476,5.273,7.534
24.7000000000001,2.466,5.338,7.626
24.8000000000001,2.456,5.401,7.716
24.9000000000001,2.446,5.463,7.804
25.0000000000001,2.436,5.523,7.889
25.1000000000001,2.436,5.581,7.972
25.2000000000001,2.427,5.637,8.053
25.3000000000001,2.417,5.691,8.130
25.4000000000001,2.417,5.744,8.205
25.5000000000001,2.407,5.794,8.277
25.6000000000001,2.397,5.842,8.346
25.7000000000001,2.397,5.888,8.411
25.8000000000001,2.387,5.931,8.473
25.9000000000001,2.387,5.973,8.532
26.0000000000001,2.377,6.012,8.588
26.1000000000001,2.377,6.048,8.640
26.2000000000001,2.368,6.082,8.689
26.3000000000001,2.368,6.113,8.734
26.4000000000001,2.368,6.142,8.775
26.5000000000001,2.358,6.169,8.813
26.6000000000001,2.358,6.193,8.847
26.7000000000001,2.348,6.214,8.877
26.8000000000001,2.358,6.233,8.904
26.9000000000001,2.348,6.249,8.927
27.0000000000001,2.348,6.262,8.946
27.1000000000001,2.348,6.273,8.962
27.2000000000001,2.338,6.282,8.974
27.3000000000001,2.348,6.288,8.982
27.4000000000001,2.338,6.291,8.987
27.5000000000001,2.348,6.292,8.988
27.6000000000001,2.338,6.290,8.985
27.7000000000001,2.338,6.286,8.979
27.8000000000001,2.348,6.279,8.970
27.9000000000001,2.348,6.270,8.957
28.0000000000001,2.348,6.259,8.941
28.1000000000001,2.348,6.245,8.921
28.2000000000001,2.348,6.229,8.899
28.3000000000001,2.348,6.211,8.873
28.4000000000001,2.358,6.191,8.845
28.5000000000001,2.358,6.169,8.813
28.6000000000001,2.358,6.145,8.779
28.7000000000001,2.358,6.119,8.742
28.8000000000001,2.368,6.092,8.702
28.9000000000001,2.368,6.062,8.660
29.0000000000001,2.368,6.031,8.615
29.1000000000001,2.368,5.998,8.569
29.2000000000001,2.377,5.964,8.519
29.3000000000001,2.377,5.928,8.468
29.4000000000001,2.387,5.890,8.415
29.5000000000001,2.397,5.852,8.359
29.6000000000002,2.397,5.812,8.303
29.7000000000002,2.397,5.771,8.244
29.8000000000002,2.407,5.729,8.185
29.9000000000002,2.407,5.686,8.123
30.0000000000002,2.417,5.643,8.061
30.1000000000002,2.417,5.598,7.998
30.2000000000002,2.427,5.553,7.933
30.3000000000002,2.427,5.508,7.868
30.4000000000002,2.436,5.462,7.802
30.5000000000002,2.446,5.415,7.736
30.6000000000002,2.446,5.368,7.669
30.7000000000002,2.456,5.321,7.602
30.8000000000002,2.466,5.274,7.535
30.9000000000002,2.466,5.227,7.468
31.0000000000002,2.466,5.181,7.401
31.1000000000002,2.476,5.134,7.334
31.2000000000002,2.476,5.087,7.268
31.3000000000002,2.485,5.041,7.202
31.4000000000002,2.495,4.995,7.136
31.5000000000002,2.495,4.950,7.072
31.6000000000002,2.505,4.905,7.008
31.7000000000002,2.505,4.861,6.945
31.8000000000002,2.505,4.818,6.883
31.9000000000002,2.515,4.775,6.822
32.0000000000002,2.525,4.734,6.762
32.1000000000002,2.525,4.693,6.704
32.2000000000002,2.535,4.653,6.647
32.3000000000002,2.535,4.614,6.591
32.4000000000002,2.544,4.576,6.537
32.5000000000002,2.544,4.539,6.485
32.6000000000002,2.554,4.504,6.434
32.7000000000002,2.554,4.470,6.386
32.8000000000002,2.554,4.437,6.339
32.9000000000002,2.554,4.406,6.294
