Time(s),Input(v),Output(v),Output(m)
41.9000000000003,0.020,0.000,0.000
42.0000000000003,0.020,0.000,0.000
42.1000000000003,0.020,0.000,0.000
42.2000000000003,0.020,0.000,0.000
42.3000000000003,0.020,0.000,0.000
42.4000000000003,0.020,0.000,0.000
42.5000000000003,0.020,0.000,0.000
42.6000000000003,0.020,0.000,0.000
42.7000000000003,0.020,0.000,0.000
42.8000000000003,0.020,0.000,0.000
42.9000000000003,0.020,0.000,0.000
43.0000000000003,0.020,0.000,0.000
43.1000000000003,0.020,0.000,0.000
43.2000000000003,0.020,0.000,0.000
43.3000000000003,0.020,0.000,0.000
43.4000000000003,0.020,0.000,0.000
43.5000000000003,0.020,0.000,0.000
43.6000000000003,0.020,0.000,0.000
43.7000000000004,0.020,0.000,0.000
43.8000000000004,0.020,0.000,0.000
43.9000000000004,0.020,0.000,0.000
44.0000000000004,0.020,0.000,0.000
44.1000000000004,0.020,0.000,0.000
44.2000000000004,0.020,0.000,0.000
44.3000000000004,0.020,0.000,0.000
44.4000000000004,0.020,0.000,0.000
44.5000000000004,0.020,0.000,0.000
44.6000000000004,0.020,0.000,0.000
44.7000000000004,0.020,0.000,0.000
44.8000000000004,0.020,0.000,0.000
44.9000000000004,0.020,0.000,0.000
45.0000000000004,0.020,0.000,0.000
45.1000000000004,0.020,0.000,0.000
45.2000000000004,0.020,0.000,0.000
45.3000000000004,0.020,0.000,0.000
45.4000000000004,0.020,0.000,0.000
45.5000000000004,0.020,0.000,0.000
45.6000000000004,0.020,0.000,0.000
45.7000000000004,0.020,0.000,0.000
45.8000000000004,0.039,0.000,0.000
45.9000000000004,0.069,0.000,0.000
46.0000000000004,0.177,0.000,0.000
46.1000000000004,0.255,0.000,0.000
46.2000000000004,0.334,0.000,0.000
46.3000000000004,0.413,0.000,0.000
46.4000000000004,0.452,0.000,0.000
46.5000000000004,0.511,0.000,0.000
46.6000000000004,0.550,0.000,0.000
46.7000000000004,0.570,0.000,0.000
46.8000000000004,0.619,0.000,0.000
46.9000000000004,0.658,0.000,0.000
47.0000000000004,0.678,0.000,0.000
47.1000000000004,0.717,0.000,0.000
47.2000000000004,0.776,0.000,0.000
47.3000000000004,0.884,0.000,0.000
47.4000000000004,0.973,0.000,0.000
47.5000000000004,1.022,0.000,0.000
47.6000000000004,1.081,0.000,0.000
47.7000000000004,1.110,0.000,0.000
47.8000000000004,1.140,0.000,0.000
47.9000000000004,1.179,0.000,0.000
48.0000000000004,1.208,0.000,0.000
48.1000000000004,1.228,0.000,0.000
48.2000000000004,1.257,0.000,0.000
48.3000000000004,1.297,0.000,0.000
48.4000000000004,1.356,0.000,0.000
48.5000000000004,1.415,0.000,0.000
48.6000000000004,1.454,0.000,0.000
