Time(s),Input(v),Output(v),Output(m)
17.9,2.466,0.000,0.000
18,2.466,0.000,0.000
18.1,2.476,0.000,0.000
18.2,2.466,0.000,0.000
18.3,2.466,0.000,0.000
18.4,2.466,0.000,0.000
18.5,2.466,0.000,0.000
18.6,2.466,0.000,0.000
18.7,2.466,0.000,0.000
18.8,2.466,0.000,0.000
18.9,2.476,0.000,0.000
19,2.466,0.000,0.000
19.1,2.466,0.000,0.000
19.2,2.466,0.000,0.000
19.3,2.466,0.000,0.000
19.4,2.466,0.000,0.000
19.5,2.466,0.000,0.000
19.6,2.466,0.000,0.000
19.7,2.466,0.000,0.000
19.8,2.466,0.000,0.000
19.9,2.466,0.000,0.000
20,2.466,0.000,0.000
20.1,2.466,0.000,0.000
20.2,2.466,0.000,0.000
20.3,2.466,0.000,0.000
20.4,2.466,0.000,0.000
20.5,2.466,0.000,0.000
20.6,2.466,0.000,0.000
20.7,2.476,0.000,0.000
20.8,2.466,0.000,0.000
20.9,2.466,0.000,0.000
21,2.466,0.000,0.000
21.1,2.466,0.000,0.000
21.2,2.466,0.000,0.000
21.3,2.466,0.000,0.000
21.4,2.495,0.000,0.000
21.5,2.505,0.000,0.000
21.6,2.515,0.000,0.000
21.7,2.554,0.000,0.001
21.8,2.554,0.002,0.002
21.9,2.554,0.004,0.005
22,2.505,0.006,0.009
22.1,2.505,0.009,0.013
22.2,2.515,0.012,0.017
22.3,2.515,0.015,0.022
22.4,2.515,0.019,0.027
22.5,2.505,0.022,0.032
22.6000000000001,2.525,0.026,0.037
22.7000000000001,2.554,0.029,0.042
22.8000000000001,2.554,0.034,0.049
22.9000000000001,2.554,0.040,0.057
23.0000000000001,2.505,0.046,0.065
23.1000000000001,2.525,0.052,0.074
23.2000000000001,2.525,0.059,0.084
23.3000000000001,2.515,0.065,0.093
23.4000000000001,2.515,0.072,0.103
23.5000000000001,2.535,0.079,0.114
23.6000000000001,2.554,0.087,0.124
23.7000000000001,2.554,0.095,0.136
23.8000000000001,2.564,0.104,0.149
23.9000000000001,2.505,0.114,0.163
24.0000000000001,2.505,0.124,0.177
24.1000000000001,2.505,0.134,0.191
24.2000000000001,2.535,0.144,0.205
24.3000000000001,2.515,0.154,0.220
24.4000000000001,2.505,0.164,0.235
24.5000000000001,2.564,0.175,0.249
24.6000000000001,2.564,0.186,0.265
24.7000000000001,2.554,0.198,0.282
24.8000000000001,2.554,0.210,0.300
24.9000000000001,2.505,0.224,0.319
25.0000000000001,2.525,0.237,0.338
25.1000000000001,2.515,0.250,0.357
25.2000000000001,2.515,0.264,0.377
25.3000000000001,2.525,0.277,0.396
25.4000000000001,2.505,0.291,0.416
25.5000000000001,2.564,0.305,0.435
25.6000000000001,2.554,0.319,0.456
25.7000000000001,2.554,0.334,0.477
25.8000000000001,2.535,0.350,0.500
25.9000000000001,2.505,0.366,0.523
26.0000000000001,2.515,0.382,0.546
26.1000000000001,2.515,0.398,0.568
26.2000000000001,2.515,0.414,0.591
26.3000000000001,2.505,0.430,0.614
26.4000000000001,2.554,0.446,0.637
26.5000000000001,2.564,0.462,0.660
26.6000000000001,2.564,0.480,0.685
26.7000000000001,2.554,0.498,0.711
26.8000000000001,2.505,0.516,0.737
26.9000000000001,2.515,0.535,0.764
27.0000000000001,2.505,0.553,0.790
27.1000000000001,2.515,0.572,0.816
27.2000000000001,2.515,0.590,0.843
27.3000000000001,2.505,0.608,0.869
27.4000000000001,2.554,0.626,0.895
27.5000000000001,2.554,0.645,0.921
27.6000000000001,2.554,0.664,0.949
27.7000000000001,2.554,0.684,0.977
27.8000000000001,2.554,0.705,1.007
27.9000000000001,2.505,0.726,1.037
28.0000000000001,2.525,0.747,1.066
28.1000000000001,2.505,0.767,1.096
28.2000000000001,2.525,0.788,1.126
28.3000000000001,2.525,0.809,1.156
28.4000000000001,2.535,0.830,1.186
28.5000000000001,2.554,0.851,1.216
28.6000000000001,2.554,0.873,1.247
28.7000000000001,2.554,0.895,1.279
28.8000000000001,2.515,0.918,1.312
28.9000000000001,2.505,0.941,1.345
29.0000000000001,2.505,0.964,1.377
29.1000000000001,2.535,0.986,1.409
29.2000000000001,2.505,1.009,1.441
29.3000000000001,2.515,1.031,1.473
29.4000000000001,2.564,1.053,1.505
29.5000000000001,2.564,1.076,1.538
29.6000000000002,2.554,1.100,1.572
29.7000000000002,2.544,1.124,1.606
29.8000000000002,2.495,1.149,1.641
29.9000000000002,2.525,1.173,1.676
30.0000000000002,2.515,1.197,1.711
30.1000000000002,2.515,1.222,1.745
30.2000000000002,2.525,1.246,1.780
